,Weight
1,4.05242908848406e-06
2,4.0524276770935724e-06
3,4.052426265705922e-06
4,4.0524248543210815e-06
5,4.0524234429390085e-06
6,4.05242203155976e-06
7,4.0524206201833346e-06
8,4.052419208809684e-06
9,4.052417797438883e-06
10,4.052416386070892e-06
11,4.052414974705678e-06
12,4.0524135633432784e-06
13,4.05241215198367e-06
14,4.052410740626937e-06
15,4.052409329272933e-06
16,4.052407917921788e-06
17,4.05240650657344e-06
18,4.052405095227863e-06
19,4.052403683885138e-06
20,4.052402272545221e-06
21,4.052400861208099e-06
22,4.052399449873781e-06
23,4.052398038542291e-06
24,4.052396627213605e-06
25,0.01765870581288358
26,4.008948746923313e-06
27,4.008948184633994e-06
28,4.008947622341625e-06
29,4.0089470600462055e-06
30,4.008946497747761e-06
31,4.008945935446268e-06
32,4.125491058216091e-06
33,4.008945373141704e-06
34,4.008944960859136e-06
35,4.008944548576528e-06
36,4.008944136293895e-06
37,0.016331164144702728
38,4.006555995783567e-06
39,4.006555677052751e-06
40,4.0065553583230465e-06
41,4.006555039594502e-06
42,4.006554720867082e-06
43,4.00655440214083e-06
44,4.006554083415686e-06
45,4.006553764691741e-06
46,4.0065534459688815e-06
47,4.006553127247197e-06
48,4.006552808526638e-06
49,4.006552489807268e-06
50,4.006552171088952e-06
51,4.006551852371858e-06
52,4.00655153365588e-06
53,4.006551214941056e-06
54,4.006550896227351e-06
55,4.006550577514806e-06
56,4.006550258803406e-06
57,4.006549940093151e-06
58,4.006549621384046e-06
59,4.006549302676065e-06
60,4.006548983969228e-06
61,4.006548665263566e-06
62,4.006548346559026e-06
63,4.00654802785561e-06
64,4.006547709153334e-06
65,4.006547390452217e-06
66,4.006547071752281e-06
67,4.006546753053443e-06
68,4.006546434355753e-06
69,4.006546115659208e-06
70,4.0065457969638305e-06
71,4.006545478269565e-06
72,4.006545159576443e-06
73,4.00654484088449e-06
74,4.006544522193642e-06
75,4.0065442035039745e-06
76,4.0065438848154116e-06
77,4.006543566128007e-06
78,4.006543247441755e-06
79,4.006542928756621e-06
80,4.00654261007271e-06
81,4.006542291389862e-06
82,4.006541972708161e-06
83,4.006541654027579e-06
84,4.006541335348246e-06
85,4.006541016669962e-06
86,4.0065406979929e-06
87,4.0065403793168595e-06
88,4.006540060642057e-06
89,4.006539741968413e-06
90,4.0065394232958585e-06
91,4.006539104624452e-06
92,4.006538785954215e-06
93,0.024062407539436906
94,4.012722509147025e-06
95,4.012722133130028e-06
96,4.012721757114002e-06
97,4.012721381099026e-06
98,4.0127210050849375e-06
99,4.012720629071878e-06
100,4.0127202530597965e-06
101,4.012719877048678e-06
102,4.012719501038545e-06
103,4.012719125029412e-06
104,4.01271874902122e-06
105,4.012718373014016e-06
106,4.012717997007813e-06
107,4.012717621002566e-06
108,4.012717244998306e-06
109,4.01271686899502e-06
110,0.03526829129127019
111,4.000597250500032e-06
112,4.00059686783596e-06
113,4.000596485173948e-06
114,4.000596102513927e-06
115,4.000595719856014e-06
116,4.000595337200134e-06
117,4.000594954546338e-06
118,4.000594571894614e-06
119,4.000594189244903e-06
120,4.000593806597247e-06
121,4.000593423951665e-06
122,4.000593041308205e-06
123,4.000592658666694e-06
