,Weight
1,4.502174410609216e-06
2,4.50217378815848e-06
3,4.502173165706548e-06
4,4.502172543253274e-06
5,4.502171920798806e-06
6,4.502171298343024e-06
7,4.5021706758859875e-06
8,4.5021700534276775e-06
9,4.5021694309680826e-06
10,4.502168808507176e-06
11,4.502168186045085e-06
12,4.502167563581707e-06
13,4.5021669411170524e-06
14,4.50216631865111e-06
15,4.5021656961839204e-06
16,4.502165073715447e-06
17,0.12396720042757606
18,4.502164451245674e-06
19,4.5021636251613805e-06
20,4.502162799071718e-06
21,4.502161972976728e-06
22,4.502161146876404e-06
23,4.502160320770722e-06
24,4.502159494659657e-06
25,4.502158668543324e-06
26,4.502157842421598e-06
27,4.5021570162945496e-06
28,4.502156190162146e-06
29,4.502155364024374e-06
30,4.5021545378812704e-06
31,4.502153711732785e-06
32,4.5021528855790046e-06
33,4.502152059419869e-06
34,4.502151233255381e-06
35,4.50215040708556e-06
36,4.504696488499544e-06
37,4.502148754729858e-06
38,4.502147928543931e-06
39,4.502147102352698e-06
40,4.5021462761561355e-06
41,4.502145449954214e-06
42,4.502144623746911e-06
43,4.502143797534277e-06
44,4.5021429713162675e-06
45,4.502142145092978e-06
46,4.5021413188643105e-06
47,4.502140492630246e-06
48,4.50213966639088e-06
49,4.502138840146175e-06
50,4.5021380138960145e-06
51,4.502137187640609e-06
52,4.502136361379834e-06
53,4.502135535113695e-06
54,4.502134708842173e-06
55,4.5021338825653466e-06
56,4.502133056283166e-06
57,4.509514747870149e-06
58,0.03653090485428768
59,4.472792522715031e-06
60,4.472791297821479e-06
61,4.472790072917511e-06
62,4.472788848003226e-06
63,4.4727876230785245e-06
64,4.472786398143393e-06
65,4.472785173197899e-06
66,4.4727839482420265e-06
67,4.4727827232757294e-06
68,4.4727814982990545e-06
69,4.472780273311981e-06
70,4.472779048314528e-06
71,4.472777823306638e-06
72,4.4727765982884314e-06
73,4.4727753732597606e-06
74,4.472774148220757e-06
75,4.472772923171275e-06
76,4.472771698111486e-06
77,4.472770473041229e-06
78,4.4727692479606045e-06
79,4.472768022869666e-06
80,0.10134407490670262
81,4.494152184791782e-06
82,4.49415207094694e-06
83,4.49415195711032e-06
84,4.494151843281897e-06
85,4.494151729461691e-06
86,4.494151615649724e-06
87,4.494151501845946e-06
88,4.4941513880504175e-06
89,4.4941512742631225e-06
90,4.494151160484049e-06
91,4.494151046713191e-06
92,4.494150932950491e-06
93,0.056055015152622845
94,4.490034692575393e-06
95,4.490034537667923e-06
96,4.490034382768225e-06
97,4.49003422787641e-06
98,4.490034072992355e-06
99,0.053372185566655746
100,4.4900339181161e-06
101,4.490033592333181e-06
102,4.4900332665546875e-06
103,4.490032940780565e-06
104,4.490032615010822e-06
105,0.010686027714714327
106,4.490032289245474e-06
107,4.490031963484535e-06
108,4.490031637727963e-06
109,4.509514587870936e-06
110,4.490030986227992e-06
111,4.4900306604846215e-06
112,4.490030334745657e-06
113,4.49003000901105e-06
114,0.024570225828414526
115,0.0006538143081072264
116,4.497367278804099e-06
117,4.497366886309058e-06
118,0.0006630318083301633
119,4.497366493816369e-06
120,4.497366101326021e-06
121,4.49736570883792e-06
122,4.497365316352194e-06
123,4.497364923868818e-06
124,4.4973645313877265e-06
125,4.497364138909e-06
126,4.497363746432514e-06
127,4.4973633539584185e-06
128,4.497362961486641e-06
129,4.4973625690171825e-06
130,4.4973621765500364e-06
131,4.497361784085253e-06
132,4.497361391622766e-06
133,4.497360999162599e-06
134,4.497360606704763e-06
135,4.49736021424923e-06
136,4.497359821796078e-06
137,4.497359429345206e-06
138,4.4973590368966805e-06
139,4.497358644450492e-06
140,4.497358252006591e-06
141,4.497357859565029e-06
142,4.497357467125792e-06
143,0.020858148370547867
144,4.497357074688906e-06
145,4.497356682254325e-06
146,4.497356289822048e-06
147,4.497355897392092e-06
148,4.497355504964537e-06
149,4.49735511253927e-06
150,4.497354720116314e-06
151,4.497354327695668e-06
152,4.497353935277336e-06
153,4.4973535428613865e-06
154,4.497353150447744e-06
155,4.49735275803641e-06
156,4.49735236562742e-06
157,4.4973519732207525e-06
158,0.025948106292742905
159,0.043536062129386204
160,4.489687039722795e-06
161,4.489686570675345e-06
162,4.489686101629468e-06
163,4.489685632585151e-06
164,4.489685163542434e-06
165,4.489684694501231e-06
166,4.489684225461611e-06
167,4.48968375642354e-06
168,4.489683287387012e-06
169,4.489682818352059e-06
170,4.489682349318691e-06
171,4.489681880286821e-06
172,4.489681411256572e-06
173,4.489680942227817e-06
174,4.489680473200661e-06
175,4.489680004175083e-06
176,4.529548046026204e-06
177,4.489679535151033e-06
178,4.489679066128587e-06
179,4.489678597107631e-06
180,4.489678128088317e-06
181,4.4896776590704926e-06
182,4.489677190054277e-06
183,4.4896767210395845e-06
184,4.489676252026512e-06
185,4.489675783014916e-06
186,4.4896753140049285e-06
187,4.489674844996482e-06
188,4.48967437598961e-06
189,4.489673906984265e-06
190,4.489673437980515e-06
191,4.489672968978353e-06
192,4.489672499977676e-06
193,4.489672030978624e-06
194,4.489671561981083e-06
195,4.489671092985135e-06
196,4.489670623990751e-06
197,4.489670154997902e-06
198,4.489669686006631e-06
199,4.489669217016963e-06
200,4.489668748028783e-06
201,4.489668279042198e-06
202,4.489667810057179e-06
203,4.489667341073676e-06
204,4.489666872091771e-06
205,4.489666403111475e-06
206,4.489665934132706e-06
207,4.489665465155466e-06
208,4.489664996179819e-06
209,4.489664527205674e-06
210,4.48966405823314e-06
211,4.489663589262176e-06
212,4.489663120292784e-06
213,0.02040091725115206
214,4.489662651324894e-06
215,4.489662182358632e-06
216,4.489661713393909e-06
217,4.489661244430726e-06
218,0.012370444736110521
219,4.496173802964224e-06
220,4.496173399134472e-06
221,4.496172995306901e-06
222,4.496172591481525e-06
223,4.496172187658423e-06
224,4.4961717838375115e-06
225,4.496171380018802e-06
226,4.496170976202348e-06
227,4.496170572387993e-06
228,4.496170168575983e-06
229,4.496169764766131e-06
230,4.496169360958519e-06
231,4.496168957153072e-06
232,4.496168553349844e-06
233,4.496168149548872e-06
234,4.496167745750107e-06
235,4.496167341953522e-06
236,4.496166938159179e-06
237,4.4961665343670645e-06
238,4.496166130577099e-06
239,4.496165726789391e-06
240,4.496165323003914e-06
241,4.496164919220636e-06
242,4.496164515439582e-06
243,4.4961641116607155e-06
244,4.496163707884082e-06
245,4.496163304109687e-06
246,4.496162900337456e-06
247,4.496162496567453e-06
248,4.496162092799665e-06
249,4.496161689034145e-06
250,4.496161285270754e-06
251,4.496160881509646e-06
252,4.49616047775073e-06
253,4.496160073994035e-06
254,4.496159670239501e-06
255,4.496159266487273e-06
256,4.496158862737207e-06
257,4.49615845898934e-06
258,4.4961580552438085e-06
259,4.49615765150031e-06
260,4.496157247759122e-06
261,4.496156844020158e-06
262,4.496156440283375e-06
263,4.49615603654884e-06
264,0.009576043110392663
265,4.496155632816459e-06
266,4.496155215423922e-06
267,4.496154798033251e-06
268,4.496154380644532e-06
269,4.496153963257767e-06
270,4.496153545872934e-06
271,4.496153128490035e-06
272,4.4961527111091185e-06
