,Weight
1,3.5536291325647202e-06
2,3.553628981936369e-06
3,3.553628831309393e-06
4,3.553628680683649e-06
5,0.037215119418748
6,3.5536285300592077e-06
7,3.553628379436095e-06
8,3.5536282288142287e-06
9,0.0369596914159025
10,3.5536280781936844e-06
11,3.553627927574444e-06
12,3.5536277769564905e-06
13,3.5536276263398675e-06
14,3.553627475724476e-06
15,3.553627325110467e-06
16,3.5536271744976707e-06
17,3.553627023886214e-06
18,3.5536268732760274e-06
19,3.553626722667147e-06
20,3.5536265720595977e-06
21,3.5536264214533394e-06
22,3.5536262708483555e-06
23,3.5536261202446558e-06
24,3.553625969642279e-06
25,3.5536258190412026e-06
26,3.553625668441421e-06
27,3.5536255178429124e-06
28,3.5536253672457543e-06
29,3.5536252166498743e-06
30,3.5536250660552285e-06
31,3.5536249154619485e-06
32,3.5536247648699767e-06
33,3.5536246142792815e-06
34,3.5536244636898597e-06
35,3.553624313101738e-06
36,3.5536241625149168e-06
37,3.553624011929465e-06
38,3.553623861345199e-06
39,3.5536237107622687e-06
40,3.5536235601806654e-06
41,3.5536234096003366e-06
42,3.5536232590213257e-06
43,3.553623108443568e-06
44,3.5536229578671723e-06
45,3.553622807292036e-06
46,3.553622656718186e-06
47,3.553622506145651e-06
48,3.553622355574426e-06
49,3.5536222050045195e-06
50,3.5536220544358754e-06
51,3.55362190386853e-06
52,3.5536217533024676e-06
53,3.553621602737745e-06
54,3.5536214521743144e-06
55,3.5536213016121514e-06
56,3.5536211510513216e-06
57,0.016405485468876435
58,3.5536210004917574e-06
59,3.5536208499334937e-06
60,3.5536206993765332e-06
61,0.003020609014890171
62,3.556742563100313e-06
63,3.5567424437661105e-06
64,3.556742324433489e-06
65,3.5567422051024976e-06
66,3.556742085773082e-06
67,3.556741966445363e-06
68,3.5567418471191966e-06
69,3.55674172779464e-06
70,3.5567416084716846e-06
71,0.025816842947170925
72,3.556741489150363e-06
73,3.5567413227610256e-06
74,3.556741156372903e-06
75,3.5567409899861023e-06
