,Weight
1,3.449739460325024e-06
2,3.4497394537350493e-06
3,3.449739447147378e-06
4,3.44973944056202e-06
5,3.4497394339789054e-06
6,3.4497394273982297e-06
7,3.4497394208197937e-06
8,3.4497394142436408e-06
9,3.449739407669814e-06
10,3.449739401098312e-06
11,3.4497393945291315e-06
12,3.449739387962228e-06
13,3.4497393813976513e-06
14,3.4497393748353817e-06
15,3.449739368275404e-06
16,3.449739361717796e-06
17,3.4497393551624096e-06
18,3.4497393486093485e-06
19,3.449739342058633e-06
20,3.449739335510234e-06
21,3.4497393289641036e-06
22,0.002507604129242785
23,3.4497393224202993e-06
24,3.449739315878809e-06
25,3.449739309339638e-06
26,3.449739302802776e-06
27,3.449739296268194e-06
28,3.449739289735937e-06
29,3.4497392832060235e-06
30,3.4497392766783687e-06
31,3.449739270153035e-06
32,3.4497392636300367e-06
33,3.449739257109327e-06
34,3.449739250590954e-06
35,3.4497392440748725e-06
36,0.004008850538069031
37,3.449739237561096e-06
38,3.4497392310496513e-06
39,3.4497392245404678e-06
40,3.4497392180336128e-06
41,3.449739211529081e-06
42,3.4497392050268637e-06
43,3.449739198526956e-06
44,3.4497391920293345e-06
45,3.4497391855340635e-06
46,0.00445596500001653
47,3.4503882464025693e-06
48,3.4503880088879727e-06
49,3.450387771372365e-06
50,3.450387533855701e-06
51,0.0157536950764399
52,3.448373213557916e-06
53,3.448372990261986e-06
54,3.4483727669655227e-06
55,3.4483725436684842e-06
56,3.448372320370967e-06
57,0.02608271192881192
58,3.4483720970728823e-06
59,3.4483718965777256e-06
60,3.448371696081692e-06
61,3.4483714955848342e-06
62,3.4483712950872123e-06
63,3.448371094588688e-06
64,3.4483708940893382e-06
65,3.448370693589144e-06
66,3.448370493088128e-06
67,3.4483702925862905e-06
68,3.4483700920836286e-06
69,3.448369891580077e-06
70,3.448369691075758e-06
71,0.0512416749278304
72,3.4483694905705635e-06
73,3.4483692896587254e-06
74,3.448369088745963e-06
75,3.4483688878323088e-06
76,3.4483686869178292e-06
77,3.4483684860024904e-06
78,3.448368285086273e-06
79,3.4483680841691806e-06
80,3.448367883251196e-06
81,3.4483676823324195e-06
82,3.448367481412666e-06
83,3.448367280492153e-06
84,3.4483670795707524e-06
85,3.448366878648433e-06
86,3.448366677725278e-06
87,3.448366476801233e-06
88,3.4483662758763556e-06
89,3.4483660749505466e-06
90,3.44836587402392e-06
91,3.4483656730964434e-06
92,3.44836547216808e-06
93,0.020282428336836803
94,3.448365271238844e-06
95,3.44836507030875e-06
96,3.4483648693776325e-06
97,3.4483646684454716e-06
98,3.448364467512344e-06
99,3.4483642665781826e-06
100,3.448364065643038e-06
101,3.4483638647067953e-06
102,3.4483636637696526e-06
103,0.03640452139921897
104,3.4504637093925627e-06
105,3.450463529455797e-06
106,3.4504633495182035e-06
107,3.4504631695798503e-06
108,3.4504629896406993e-06
109,3.450462809700749e-06
110,3.450462629759913e-06
111,3.450462449818378e-06
