,Weight
1,5.649368295409985e-06
2,0.023437270279000614
3,5.6548814090346255e-06
4,0.043001943560322595
5,5.654881010498229e-06
6,5.654880554429256e-06
7,5.654880098371355e-06
8,5.654879642324563e-06
9,5.654879186288853e-06
10,5.654878730264209e-06
11,5.654878274250716e-06
12,5.654877818248309e-06
13,5.654877362256976e-06
14,5.654876906276758e-06
15,5.6548764503075794e-06
16,5.654875994349547e-06
17,5.654875538402605e-06
18,0.056397547352058104
19,5.654875082466761e-06
20,0.10488471695325526
21,5.654874626542007e-06
22,5.654874170628331e-06
23,5.65487371472577e-06
24,0.06782817478999101
25,5.675090501113766e-06
26,5.6750901437388605e-06
27,5.675089786374973e-06
28,5.675089429022216e-06
29,5.6750890716804325e-06
30,5.675088714349715e-06
31,5.675088357030013e-06
32,5.6750879997214225e-06
33,5.675087642423813e-06
34,5.675087285137286e-06
35,5.675086927861771e-06
36,5.675086570597346e-06
37,5.675086213343914e-06
38,0.04986646988142155
39,5.674613183023955e-06
40,5.67461135910239e-06
41,0.05817344942606932
42,5.674609535170814e-06
43,5.674607783657444e-06
44,5.674606032132764e-06
45,5.674604280596727e-06
46,5.674602529049416e-06
47,5.674600777490762e-06
48,5.674599025920768e-06
49,0.05923067563853732
50,5.674597274339515e-06
51,5.674595522746918e-06
52,5.674593771142964e-06
53,5.674592019527766e-06
54,5.67459026790117e-06
55,5.674588516263296e-06
56,5.674586764614073e-06
57,5.674585012953526e-06
58,5.674583261281669e-06
59,5.674581509598536e-06
60,5.6745797579040145e-06
61,5.674578006198167e-06
62,5.674576254481024e-06
63,5.674574502752611e-06
64,5.674572751012765e-06
65,5.6745709992616775e-06
66,5.674569247499217e-06
67,5.674567495725481e-06
68,5.674565743940382e-06
69,5.674563992143991e-06
70,5.6745622403362866e-06
71,0.02606712182516498
72,5.674560488517209e-06
73,5.674558764486379e-06
74,5.674557040443842e-06
75,5.6745553163895115e-06
76,5.67455359232352e-06
77,5.67455186824579e-06
78,5.674550144156295e-06
79,5.674548420055069e-06
80,5.674546695942104e-06
81,5.674544971817375e-06
82,5.674543247680956e-06
83,5.674541523532807e-06
84,5.674539799372906e-06
