,Weight
1,3.5923549112364697e-06
2,3.592354236649186e-06
3,3.5923535620667284e-06
4,3.592352887489134e-06
5,3.592352212916388e-06
6,3.592351538348487e-06
7,3.592350863785404e-06
8,0.029345937578319468
9,3.5731825432146172e-06
10,3.5731816769848007e-06
11,3.5731808107578704e-06
12,3.5731799445338883e-06
13,3.573179078312848e-06
14,3.5731782120947297e-06
15,3.5731773458795593e-06
16,3.5731764796672962e-06
17,3.5731756134579847e-06
18,3.573174747251566e-06
19,3.573173881048116e-06
20,3.5731730148475544e-06
21,3.573172148649961e-06
22,3.5731712824552838e-06
23,0.012757878549932395
24,3.5728550124058677e-06
25,3.5728541430630297e-06
26,3.572853273723083e-06
27,3.5728524043859784e-06
28,3.5728515350518187e-06
29,3.5728506657205436e-06
30,3.5728497963921857e-06
31,3.5728489270666713e-06
32,3.572848057744129e-06
33,3.572847188424428e-06
34,3.572846319107636e-06
35,3.572845449793767e-06
36,3.5728445804827667e-06
37,3.572843711174695e-06
38,3.5728428418694838e-06
39,3.572841972567173e-06
40,3.572841103267764e-06
41,3.5728402339712826e-06
42,3.5728393646776674e-06
43,0.05076800482823949
44,3.6694898152633732e-06
45,3.5717083308577945e-06
46,3.5717076004157463e-06
47,3.571706869977358e-06
48,3.57170613954263e-06
49,3.5717054091116356e-06
50,3.571704678684353e-06
51,3.571703948260706e-06
52,3.5717032178408104e-06
53,3.571702487424518e-06
54,3.571701757012014e-06
55,3.5717010266031507e-06
56,3.571700296197996e-06
57,0.08315191784134701
58,3.5716995657965066e-06
59,3.5716988353987223e-06
60,3.571698105007256e-06
61,3.5716973746221013e-06
62,0.01322924675123107
63,3.5716966442431935e-06
64,3.5716960001365916e-06
65,3.57169535603693e-06
66,3.571694711944096e-06
67,9.988157585597627e-06
68,3.571693423779222e-06
69,3.5716927797071164e-06
70,3.5716921356419527e-06
71,3.571691491583666e-06
72,3.5716908475323098e-06
73,3.5716902034878065e-06
74,3.571689559450274e-06
75,3.571688915419648e-06
76,3.571688271395878e-06
77,3.57168762737902e-06
78,3.571686983369105e-06
79,3.571686339366066e-06
