,Weight
1,4.384471000964196e-06
2,4.384470961038081e-06
3,4.384470921117561e-06
4,4.384470881202627e-06
5,4.3844708412932976e-06
6,4.384470801389568e-06
7,4.3844707614913946e-06
8,4.3844707215988244e-06
9,0.023860263223664215
10,4.38447068171183e-06
11,4.384470641830461e-06
12,4.384470601954693e-06
13,4.384470562084517e-06
14,4.384470522219899e-06
15,4.38447048236085e-06
16,4.384470442507434e-06
17,4.3844704026596406e-06
18,4.38447036281742e-06
19,4.384470322980773e-06
20,4.384470283149741e-06
21,4.3844702433242746e-06
22,4.3844702035044375e-06
23,4.384470163690154e-06
24,4.384470123881446e-06
25,4.38447008407841e-06
26,4.384470044280919e-06
27,4.384470004489049e-06
28,4.384469964702755e-06
29,4.384469924922045e-06
30,4.384469885146946e-06
31,4.384469845377385e-06
32,4.384469805613469e-06
33,4.384469765855135e-06
34,4.384469726102377e-06
35,4.384469686355239e-06
36,4.384469646613702e-06
37,4.384469606877798e-06
38,4.38446956714744e-06
39,4.384469527422651e-06
40,4.384469487703502e-06
41,4.384469447989899e-06
42,4.384469408281965e-06
43,0.023458889918994637
44,4.3844693685795865e-06
45,4.384469328882806e-06
46,4.384469289191611e-06
47,4.384469249505995e-06
48,4.384469209825989e-06
49,4.384469170151598e-06
50,0.019456503516566248
51,4.385500966910668e-06
52,4.3855009375658384e-06
53,4.385500908226668e-06
54,0.0629446430176849
55,4.3855008788931935e-06
56,4.385500849565454e-06
57,0.030214126438072853
58,4.385500820243554e-06
59,4.385500790927442e-06
60,4.385500761617432e-06
61,4.385500732313508e-06
62,0.025196249330157225
63,4.385500703015771e-06
64,4.385500673724204e-06
65,4.385500644438742e-06
66,4.385500615159437e-06
67,4.385500585886236e-06
68,4.385500556619165e-06
69,4.3855005273582345e-06
70,4.385500498103466e-06
71,0.011674426075203553
72,4.36756996604546e-06
73,4.367569180939826e-06
74,4.367568395827398e-06
75,4.367567610708248e-06
76,4.3675668255823315e-06
77,4.367566040449671e-06
78,4.367565255310314e-06
79,4.367564470164226e-06
80,4.367563685011355e-06
81,0.044640844096206625
82,4.359600050485264e-06
83,4.359599185690438e-06
84,4.359598320888066e-06
85,4.359597456078118e-06
86,4.359596591260662e-06
87,4.359595726435692e-06
88,4.359594861603162e-06
89,4.359593996763119e-06
90,0.020552575481324144
91,4.363447017723074e-06
92,4.363446191406799e-06
93,4.363445365083388e-06
94,4.363444538752798e-06
95,4.363443712415047e-06
96,4.363442886070167e-06
97,4.363442059718127e-06
98,0.017657534264994144
99,4.363441233358941e-06
100,4.363440406992578e-06
101,4.3634395806182074e-06
102,4.363438754235846e-06
103,4.363437927845494e-06
104,4.363437101447135e-06
