,Weight
1,3.6846733278038673e-06
2,3.684673278226914e-06
3,3.6846732286569252e-06
4,3.684673179094015e-06
5,0.014657508750765902
6,3.6846731295380877e-06
7,3.6846729936476823e-06
8,3.6846728577625534e-06
9,3.6846727218827126e-06
10,3.6846725860081717e-06
11,3.684672450138872e-06
12,3.6846723142749433e-06
13,3.684672178416204e-06
14,3.684672042562775e-06
15,3.6846719067146383e-06
16,9.98192265928018e-06
17,3.684671635034184e-06
18,3.6846714992019078e-06
19,3.684671363374913e-06
20,3.6846712275531697e-06
21,3.684671091736748e-06
22,0.00531446277145118
23,3.6846709559255515e-06
24,3.6846708201197273e-06
25,3.68467068431911e-06
26,3.684670548523852e-06
27,3.6846704127337722e-06
28,3.684670276949033e-06
29,3.6846701411695595e-06
30,3.6846700053954267e-06
31,3.6846698696265477e-06
32,0.004949663720690637
33,3.6866591564316144e-06
34,3.6866590405675373e-06
35,3.6866589247089194e-06
36,3.686658808855785e-06
37,3.686658693008169e-06
38,3.6866585771660195e-06
39,3.6866584613293317e-06
40,3.6866583454981504e-06
41,3.6866582296724385e-06
42,3.6866581138522483e-06
43,3.6866579980375148e-06
44,3.6866578822282213e-06
45,3.6866577664244534e-06
46,3.6866576506261955e-06
47,0.01590104915410537
48,3.6820434090138425e-06
49,3.6820426386698675e-06
50,3.682041868320343e-06
51,3.682041097965378e-06
52,3.682040327604888e-06
53,3.6820395572388958e-06
54,0.0025748003894084
55,3.6785069233401e-06
56,3.6785068880214223e-06
57,3.6785068527101637e-06
58,3.6785068174062235e-06
59,3.6785062819314426e-06
60,3.6785057464667566e-06
61,3.678505211012361e-06
62,3.6785046755679827e-06
63,0.007814062983742405
64,3.696041940017263e-06
65,3.6960415799712766e-06
66,3.6960412199372313e-06
67,3.6960408599150446e-06
68,3.6960404999048005e-06
69,3.6960401399064924e-06
70,3.6960397799201122e-06
71,0.02652592756718699
72,3.709303882723901e-06
73,3.709303655405992e-06
74,0.0121192562493948
75,3.709303428095895e-06
76,3.7093031474724617e-06
77,3.7093028668557225e-06
78,3.709302586245844e-06
79,3.7093023056426816e-06
80,3.709302025046377e-06
81,3.709301744456875e-06
82,3.709301463874117e-06
83,3.7093011832981683e-06
84,3.709300902729056e-06
85,3.709300622166659e-06
86,3.709300341611108e-06
87,3.70930006106234e-06
88,3.709299780520354e-06
89,3.709299499985191e-06
90,3.7092992194567774e-06
91,3.70929893893523e-06
92,3.7092986584203835e-06
93,3.7092983779123876e-06
94,3.7092980974111587e-06
95,3.7092978169168076e-06
96,0.011865569700365022
97,3.7036195525627363e-06
98,0.022704036411807543
99,3.7088791694129276e-06
100,3.708879162926666e-06
101,3.7088791564404804e-06
102,0.022061097611608946
103,0.00816152313333487
104,3.702162765139677e-06
105,0.029262375696778455
106,3.7017927724935414e-06
107,3.701792612346923e-06
108,3.701792452198803e-06
109,3.7017922920491083e-06
110,0.012784837705728521
111,3.705387352705226e-06
112,3.7028316072596977e-06
113,3.7053874098064864e-06
114,3.7053872856064176e-06
115,3.7053871614051935e-06
116,3.705387037202753e-06
117,3.7053869129990585e-06
118,0.03774191702205833
119,3.7053867887941866e-06
120,3.705386664588126e-06
121,3.705386540380808e-06
122,3.705386416172276e-06
123,3.70538629196256e-06
124,3.7053861677516782e-06
125,3.705386043539508e-06
126,3.705385919326213e-06
127,3.7053857951116364e-06
128,3.705385670895856e-06
129,3.70538554667891e-06
130,3.7053854224607325e-06
131,3.7053852982413417e-06
132,3.7053851740207565e-06
133,3.705385049798979e-06
134,3.7053849255759083e-06
135,3.7053848013516728e-06
136,3.705384677126248e-06
137,3.7053845528995926e-06
138,3.705384428671776e-06
139,3.7053843044426746e-06
140,3.705384180212416e-06
141,3.705384055980931e-06
142,3.705383931748258e-06
143,3.705383807514327e-06
144,3.7053836832792125e-06
145,3.7053835590429042e-06
146,3.705383434805367e-06
147,3.7053833105666087e-06
148,3.7053831863266624e-06
149,3.7053830620855e-06
150,3.7053829378431497e-06
151,0.016362331128008497
152,3.695671269942574e-06
153,3.6956709993804584e-06
154,3.6956707288280524e-06
155,3.69567045828535e-06
156,3.6956701877523868e-06
