,Weight
1,6.1530576363117205e-06
2,6.1530575079102095e-06
3,6.1530573795142634e-06
4,6.153057251123929e-06
5,6.153057122739145e-06
6,6.153056994359966e-06
7,6.153056865986327e-06
8,6.153056737618243e-06
9,6.153056609255765e-06
10,6.153056480898912e-06
11,6.153056352547553e-06
12,6.1530562242018065e-06
13,6.153056095861644e-06
14,6.153055967527073e-06
15,6.153055839198128e-06
16,6.153055710874646e-06
17,6.153055582556771e-06
18,6.15305545424457e-06
19,6.153055325937831e-06
20,6.153055197636704e-06
21,6.153055069341145e-06
22,6.153054941051235e-06
23,6.153054812766792e-06
24,6.153054684488027e-06
25,6.153054556214764e-06
26,6.153054427947142e-06
27,6.153054299685032e-06
28,6.153054171428537e-06
29,6.1530540431776066e-06
30,6.153053914932252e-06
31,6.153053786692513e-06
32,6.153053658458314e-06
33,6.153053530229731e-06
34,6.153053402006687e-06
35,6.153053273789237e-06
36,6.153052434568602e-06
37,6.153052306348347e-06
38,6.153052178128117e-06
39,6.153052049907862e-06
40,6.153051921687674e-06
41,0.009528526335486906
42,6.153051793467491e-06
43,0.0927277190976994
44,6.1530516652473e-06
45,6.153051537027162e-06
46,6.153051408806345e-06
47,6.153051280584799e-06
48,6.153051152362637e-06
49,6.1530510241396925e-06
50,6.153050895916077e-06
51,6.153050767691774e-06
52,6.153050639466779e-06
53,6.153050511241108e-06
54,6.153050383014741e-06
55,6.153050254787669e-06
56,6.153050126559953e-06
57,6.153049998331486e-06
58,6.153049870102336e-06
59,6.153049741872529e-06
60,6.153049613641974e-06
61,6.153049485410756e-06
62,6.153049357178865e-06
63,0.019319846566210355
64,6.153049228946254e-06
65,6.153049100712944e-06
66,6.153048972481005e-06
67,6.1530488442503e-06
68,6.153048716020958e-06
69,6.153048587792982e-06
70,6.153048459566235e-06
71,0.11805066209457372
72,6.153048331340848e-06
73,6.153048203116811e-06
74,6.153048074894084e-06
75,6.153047946672652e-06
76,6.153047818452521e-06
77,0.006264031353836921
78,6.153047690233739e-06
79,6.153047562016248e-06
80,6.153047433800079e-06
81,6.153047305585223e-06
82,6.153047177371689e-06
83,6.153047049159538e-06
84,6.153046920948587e-06
85,6.153046792738991e-06
86,6.153046664530775e-06
87,6.1530465363238195e-06
88,6.153046408118195e-06
89,6.153046279913893e-06
90,6.153046151710886e-06
91,6.1530460235091904e-06
92,6.1530458953088176e-06
93,6.153045767109734e-06
94,6.153045638911999e-06
95,6.153045510715587e-06
96,6.153045382520427e-06
97,6.153045254326629e-06
98,6.153045126134146e-06
99,6.1530449979430076e-06
100,6.153044869753106e-06
101,6.1530447415645676e-06
102,6.1530446133772856e-06
103,6.153044485191389e-06
104,6.1530443570067475e-06
105,6.153044228823455e-06
106,6.153044100641469e-06
107,6.153043972460744e-06
108,6.153043844281406e-06
109,6.153043716103354e-06
110,6.1530435879265795e-06
111,6.153043459751165e-06
112,6.153043331576976e-06
113,0.02891544266729994
114,6.165860355027394e-06
115,6.165859957377545e-06
116,6.165859559748939e-06
117,6.165859162141563e-06
118,6.165858764555298e-06
119,6.165858366990291e-06
120,6.165857969446433e-06
121,6.165857571923715e-06
122,6.1658571744222125e-06
123,6.165856776941953e-06
124,6.165856379482808e-06
125,6.1658559820448965e-06
126,6.165855584628119e-06
127,6.165855187232584e-06
128,6.165854789858181e-06
129,6.1658543925050056e-06
130,6.165853995173043e-06
131,6.165853597862222e-06
132,6.165853200572604e-06
133,6.165852803304141e-06
134,6.165852406056945e-06
135,6.165852008830883e-06
136,6.165851611626025e-06
137,6.165851214442367e-06
138,6.165850817279833e-06
139,6.1658504201385854e-06
140,6.16585002301846e-06
141,6.165849625919571e-06
142,6.165849228841861e-06
143,0.007677793648567119
144,6.16584883178537e-06
145,6.165848650677437e-06
146,6.165848469570026e-06
147,6.165848288462936e-06
148,6.165848107356351e-06
149,6.165847926250212e-06
150,6.165847745144529e-06
151,0.04566517645816643
152,6.165847564039243e-06
153,6.1658473829344625e-06
154,6.16584720183008e-06
155,6.165847020726141e-06
156,6.165846839622632e-06
157,6.165846658519592e-06
158,6.165846477416988e-06
159,6.165846296314876e-06
160,6.165846115213143e-06
161,6.165845934111802e-06
162,6.1658457530109925e-06
163,6.165845571910586e-06
164,6.165845390810606e-06
165,6.16584520971112e-06
166,6.165845028612003e-06
167,6.165844847513411e-06
168,6.165844666415202e-06
169,6.165844485317459e-06
170,6.165844304220131e-06
171,6.165844123123307e-06
172,6.165843942026842e-06
173,6.165843760930901e-06
174,6.165843579835399e-06
175,6.165843398740242e-06
176,6.165843217645641e-06
177,6.165843036551387e-06
178,6.165842855457655e-06
179,6.165842674364282e-06
180,6.165842493271399e-06
181,6.1658423121790014e-06
182,0.12960879865865763
183,6.165842131086946e-06
184,6.165841949995437e-06
185,6.165841768904319e-06
186,6.1658415878136375e-06
187,6.165841406723365e-06
188,6.165841225633598e-06
189,6.16584104454424e-06
190,6.165840863455314e-06
191,6.165840682366886e-06
192,6.16584050127886e-06
193,6.1658403201913024e-06
194,6.165840139104105e-06
195,6.165839958017413e-06
196,6.165839776931178e-06
197,6.165839595845389e-06
198,6.165839414760024e-06
199,0.03713302084393089
200,6.15816944100309e-06
201,6.158169407298508e-06
202,6.158169373595842e-06
203,6.1581693398950805e-06
204,6.1581693061961745e-06
205,6.158169272499242e-06
206,6.158169238804224e-06
207,6.158169205111051e-06
208,6.158169171419815e-06
209,6.158169137730449e-06
210,6.1581691040430084e-06
211,6.1581690703575135e-06
212,6.158169036673818e-06
213,6.1581690029921e-06
214,6.1581689693122995e-06
215,6.158168935634331e-06
216,6.158168901958393e-06
217,6.158168868284228e-06
218,6.158168834612015e-06
219,6.158168800941733e-06
220,6.158168767273288e-06
221,6.158168733606821e-06
222,6.158168699942238e-06
223,6.15816866627955e-06
224,6.158168632618768e-06
225,6.158168598959878e-06
226,6.158168565302901e-06
227,6.158168531647821e-06
228,6.158168497994668e-06
229,6.158168464343417e-06
230,0.0555957154960137
231,6.1570402833215475e-06
232,6.157040238392627e-06
233,6.157040193465479e-06
234,6.157040148540133e-06
235,6.157040103616538e-06
236,6.157040058694794e-06
237,6.157040013774853e-06
238,6.157039968856671e-06
239,6.157039923940277e-06
240,6.15703987902565e-06
241,6.157039834112924e-06
242,6.157039789201829e-06
243,6.157039744292626e-06
244,6.157039699385205e-06
245,6.1570396544795584e-06
246,6.157039609575743e-06
247,6.1570395646736525e-06
248,6.1570395197734355e-06
249,6.157039474874948e-06
250,6.157039429978252e-06
251,6.157039385083336e-06
252,0.05270687030973164
253,6.157039340190264e-06
254,6.15703929529895e-06
255,6.157039250409472e-06
256,6.157039205521712e-06
257,6.157039160635826e-06
258,6.1570391157516615e-06
259,6.157039070869329e-06
260,6.1570390259887594e-06
261,6.157038981110055e-06
262,6.157038936233045e-06
263,6.157038891357876e-06
264,6.157038846484522e-06
265,6.157038801612886e-06
266,6.157038756743102e-06
267,6.157038711875098e-06
268,6.157038667008843e-06
269,6.157038622144434e-06
270,6.157038577281829e-06
271,6.1570385324210085e-06
272,6.157038487561944e-06
273,6.157038442704677e-06
274,6.157038397849208e-06
275,6.157038352995536e-06
276,6.15703830814369e-06
277,6.157038263293584e-06
278,6.1570382184452725e-06
279,6.1570381735988065e-06
280,6.157038128754066e-06
281,6.1570380839111905e-06
282,6.157038039070024e-06
283,6.157037994230733e-06
284,6.157037949393163e-06
285,6.157037904557425e-06
286,6.157037859723443e-06
287,6.157037814891289e-06
288,6.157037770060926e-06
289,6.157037725232366e-06
290,6.157037680405571e-06
291,6.157037635580554e-06
292,6.157037590757357e-06
293,6.157037545935958e-06
294,6.15703750111637e-06
295,6.157037456298534e-06
296,6.157037411482463e-06
297,6.157037366668214e-06
298,6.157037321855781e-06
299,6.157037277045123e-06
300,6.157037232236314e-06
301,6.157037187429206e-06
302,0.019053267758374702
303,6.1570371426239295e-06
304,6.1570370978204775e-06
305,6.1570370530188e-06
306,6.157037008218885e-06
307,6.157036963420762e-06
308,6.15703691862451e-06
309,6.157036873829959e-06
310,0.03616638500813891
311,6.1570368290372484e-06
312,6.157036685755972e-06
