,Weight
1,0.00027170116123661527
2,0.0005646968639053772
3,0.0010339503786481136
4,4.032262064796944e-05
5,0.0014082204921124484
6,3.137452084675839e-05
7,0.005060336041990368
8,0.0026195638807509753
9,0.0036044194665521894
10,0.0012816839966442747
11,0.003463984896792872
12,0.0018629241821103211
13,0.0008818770096330839
14,0.0011012205832988428
15,0.0006794269186389114
16,0.00468132823055275
17,0.001365240831591819
18,0.0011600437997489987
19,9.903446785663635e-05
20,0.0011897330963685782
21,0.0014136426315453927
22,0.0012024329474206246
23,0.00014040656937573066
24,0.0033054426581993726
25,0.0030809381876831282
26,0.00562381335358792
27,0.003361942448690608
28,0.0014077422074322708
29,0.0006674698740875952
30,0.0007321398526572261
31,0.0011544675896181368
32,0.0013913290573579016
33,0.0009744400800694241
34,0.00124593928001622
35,0.0015712583042194492
36,0.0011449779107675971
37,0.0006400335745406332
38,0.0015432135978468275
39,0.001748020120895519
40,0.0022884186360234153
41,0.0012289252998439607
42,0.0012003798815667065
43,0.003679741285852219
44,0.003600033807400712
45,0.002986326975451968
46,0.004359524963849186
47,1.0000000000002252e-05
48,0.0025164144032579806
49,9.999999999993953e-06
50,0.0021669739366984306
51,0.0028056086876652006
52,0.0014194619731423986
53,0.0009334997902782732
54,0.000553932783512746
55,0.0017731797999145944
56,0.0020114191057353363
57,0.0035765544325434633
58,0.0024285597015534163
59,0.004421676721753795
60,0.004117694313514249
61,0.0019846133703756235
62,0.0028830127118762263
63,0.002613357742777009
64,0.0009879480209872855
65,0.00452433436050029
66,0.0008826663919106111
67,0.004308244251209743
68,1.0000000000002198e-05
69,0.0043767323763369455
70,0.0035166999373643336
71,0.002588564011675692
72,0.0021431565884590356
73,0.001901323147488463
74,0.002257388449792858
75,0.0014123410949391654
76,0.0012679825268073065
77,0.0019273812112899397
78,0.0005047864165016587
79,0.0008865277374559115
80,0.0012427871584675882
81,0.0006825035733867577
82,0.0012985559313591992
83,0.003345177674666103
84,0.0027015410387738557
85,0.002734898488352341
86,0.002559192687143266
87,0.0006388596857230361
88,0.0001798575052983398
89,0.00068298805509678
90,0.0005556324870853388
91,0.00011304026262755767
92,0.00367305390873235
93,0.0014707662141759843
94,0.0029032074474744677
95,0.0022527711814062444
96,0.0016426567554250467
97,0.001079146384173824
98,0.0012648508477873673
99,0.0022007837978008328
100,0.003556690560472077
101,0.0027796313965600715
102,0.0005222492498294367
103,0.0010197792310234132
104,0.0009884844576362067
105,0.0022915444900632608
106,0.0010857272802409894
107,0.0012255433709765966
108,0.00019533738507557631
109,0.00019144133301575875
110,0.0018845670884492071
111,0.0033625134015958583
112,0.0013594850900301469
113,0.0026821424231419514
114,0.0005859056134253365
115,0.002829333018219158
116,0.00026514164168975926
117,0.00319143975935095
118,0.0030896546733832565
119,0.0009878738071893815
120,9.99999999999825e-06
121,0.0025506653214585036
122,7.77927440615363e-05
123,0.002914058470000401
124,0.002991789767872107
125,0.002056296779144308
126,0.0036583691302617544
127,0.0024495962431441646
128,0.0007496592536602915
129,0.003910383120255169
130,0.00027339204344111113
131,0.0040572142596960944
132,0.003115857779791854
133,0.0015918742359309589
134,1.0000000000002208e-05
135,0.0031699491094066817
136,9.999999999999167e-06
137,0.0008516790948493396
138,1.000000000000226e-05
139,0.0003012244407611786
140,0.003253774925301194
141,0.0007438905713338028
142,0.00373778016170123
143,0.003133494597285388
144,0.002735203970076462
145,0.0010263496541081604
146,0.00029221195144054604
147,0.002702277927141527
148,0.003232852299431034
149,0.0030220854073936603
150,0.0031609602965796415
151,1.0000000000002195e-05
152,0.0023280046590075983
153,0.003362351436588095
154,0.0015066701762669354
155,0.0020691179418817255
156,0.0029075690430911127
157,0.0015916491427647565
158,0.0012630962519689503
159,0.001700392809296186
160,0.0008261147136464806
161,0.0013787935229029405
162,9.99999999999914e-06
163,0.0032674282122534793
164,0.0013600871582078952
165,0.0026142060060140382
166,0.002786606374953856
167,9.999999999999142e-06
168,0.0031266278930879043
169,0.0024513624762060463
170,4.959205387518585e-05
171,0.0028595319456077846
172,0.0030812031544103255
173,0.001345727871755733
174,1.0000000000002352e-05
175,0.001584425826346651
176,0.0013478239969816014
177,0.00228593103775968
178,0.0021501643924641354
179,0.003806616186925723
180,0.0032149926570538613
181,0.0019706331124066403
182,0.001405834246086313
183,0.00041688827928730766
184,0.001542214532656616
185,0.00034660398510175377
186,0.003256932727961081
187,0.003586332413384565
188,0.002246344186369263
189,0.0017526429994823103
190,0.0006070506393422526
191,0.0015422005218298745
192,0.0027501477194889984
193,0.000714098511152794
194,0.004176579738755693
195,0.002647614262602003
196,0.001099079555253527
197,0.0015422145257926259
198,0.003958833030969838
199,0.00037309053288899245
200,0.0016086581275933719
201,0.003401339248753146
202,0.00047854100210074777
203,0.0003467155381233192
204,0.001482749416762451
205,0.003463863851109066
206,0.001542214532656616
207,0.001542214532656616
208,0.002604070371407809
209,0.0019442770588645845
210,0.0032627183579509974
211,0.001542214532656616
212,0.0010556543257397852
213,0.001542214532656616
214,0.0030140391954720605
215,0.003631465022756046
216,0.002312558507612307
217,0.0028775802210997898
218,0.000316419398040011
219,0.003174449385135423
220,0.0036625353771434755
221,0.00427370393804194
222,9.99999999999825e-06
223,0.0027014022330512804
224,0.0025343799415412224
225,0.001542214532656616
226,0.0023497429810977184
227,0.0018077618171540093
228,0.00409352328111114
229,0.003134184952999315
230,0.003051098364126554
231,0.0015252085408001446
232,0.0030246654449712193
233,0.0032353218570155134
234,0.003003247206255074
235,0.0031507282800480466
236,0.0029896209491922705
237,0.001542214532656616
238,0.0017028182808903694
239,0.0027386308445737245
240,0.001542214532656616
241,0.001542214532656616
242,0.001542079209159622
243,0.001162222352727633
244,0.001542214532656616
245,0.001542214532656616
246,0.002503179664294571
247,0.002350847881925226
248,0.00031978281475550754
249,0.0017206793344918519
250,1.0000000000003436e-05
251,0.0022697219628730436
252,0.0020385676694668242
253,0.002200499301754288
254,0.001441473721350956
255,1.0000000000009787e-05
256,0.0015422145374337122
257,0.0030529327528052057
258,0.003374525811264997
259,0.0023140117567818468
260,0.001542214532656616
261,0.0015422145330780549
262,0.003085684010382023
263,0.002087994425414834
264,0.004788817331528604
265,0.0014734265052621842
266,0.0030308525481075304
267,0.0035782679460464235
268,0.0016698793960082826
269,0.002185728930124537
270,0.002293750252308668
271,0.0043356111985198625
272,0.001542214532656616
273,0.001542214532656616
274,0.0007049334513165405
275,0.0013869276398734334
276,0.002276089893370333
277,0.001542214532656616
278,0.0020898699320176036
279,0.001542214532656616
280,0.0004883062316161706
281,0.004516175719525857
282,0.002100598031683679
283,0.0021129135273963056
284,0.001542214532656616
285,0.001541400709817846
286,0.00017258095693135455
287,0.0025468463322331
288,0.0027276338392183456
289,0.001542214532656616
290,0.002970395883688844
291,0.0015524989216768703
292,1.0000000000002195e-05
293,0.0030787138529711545
294,0.0031526454233696405
295,0.0013865369516522879
296,0.0008914549277713081
297,0.0019644210652903374
298,0.001542214532656616
299,0.0019635873111994054
300,0.0029575667104591416
301,0.0015422145326518585
302,0.0006109448485690678
303,0.0007631261066561632
304,0.00322237507980076
305,0.0029467506213560657
306,0.000819149058786332
307,0.0035191641367617707
308,0.004127556604066396
309,0.001542214532656616
310,0.00019411085910880474
311,0.0008208362432299223
312,0.0028457117389460696
313,0.002618021152794116
314,0.0036865647878716362
315,0.001542214532656616
316,0.003450281753547741
317,0.001542214532656616
318,0.001542214532656616
319,0.001542214532656616
320,0.0015422145323851647
321,0.0015422145323468316
322,0.0014022343838056837
323,0.001542214532656616
324,0.0015355408052959985
325,0.001542214532656616
326,0.003166921294654101
327,0.001542214532656616
328,0.001542214532656616
329,0.0017426643668052716
330,0.001542214532656616
331,0.0019494598935794634
332,0.001542214532656616
333,0.001542214532656616
334,0.001542214532656616
335,0.001202999709099897
336,0.001542214532656616
337,0.001542214532656616
338,0.0036157996538880213
339,0.001542214532656616
340,0.00456142928786162
341,0.001542214532656616
342,0.001542214532656616
343,0.0015422223865422173
344,0.0017153235233847218
345,0.001542214532656616
346,0.0015396602893585384
347,0.0030035920520993
348,0.0021126112813955548
349,0.0038682317472570676
350,0.004329427427727628
351,0.00404610879244327
352,0.001542214532656616
353,0.0015422352992827011
354,0.0015422144368009583
355,0.002957494981151193
356,0.002860074561011144
357,0.003395181911349758
358,0.001542214532656616
359,0.0030025353124678313
360,0.0033195140349023995
361,0.001542214532656616
362,0.0015422145358005722
363,0.0021001004691714436
364,0.0015422145326565064
365,0.0020205158995277753
366,0.0031485024833390524
367,0.0015422145324618759
368,0.0022598710905860925
369,0.003069056598751619
370,0.0026336806769846326
371,0.0018776838386351498
372,9.999999999999125e-06
373,0.001542214532656616
374,0.003317698239639183
375,0.001542214532656616
376,0.001542214532656616
377,0.0021633159001346754
378,0.001542214532656616
379,0.001542214532656616
380,0.00016904394365096703
381,0.001542214532657581
382,0.001542214532656616
383,0.003198906466957705
384,0.001542214532656616
385,0.00012899096151307058
386,0.002255307146812245
387,0.0001701163408433606
388,0.001542214532656616
389,0.00019021843517525805
390,0.001542214532656616
391,0.0041781425270878865
392,0.003360656785343024
393,0.0016886399700293602
394,0.0015422145326576193
395,0.001542214532656616
396,0.001542214532656616
397,0.003672344588777017
398,0.0027475007253438674
399,0.001542214532656616
400,0.002887575915903825
401,0.001542214532656616
402,0.0015421725262654829
403,0.0027300251258713867
404,0.002558981302191233
405,0.0023548748238937907
406,0.001542214532656616
407,0.001542214532656616
408,0.003307815547564033
409,0.001542214532656616
410,0.0015945732199386233
411,0.0015418774255585564
412,0.0034698495235647737
413,0.001542214532656616
414,0.003095726712087042
415,0.001542214532656616
416,0.0022358597407925187
417,0.0015424630248682312
418,0.0015422306810562926
